classification_2019,classification_2020,classification_2021,es_espurio,temperature_2m,total_precipitation_sum
3,3,3,0,296.23104397324033,0.06413080992640967
15,15,15,0,295.9683738052734,0.06636406558098311
3,3,3,0,296.5703685110237,0.06814280229153151
3,3,3,0,296.12700256304555,0.06485491571170006
3,3,3,0,295.48789743071944,0.06504611747803206
19,19,19,0,296.1467367646839,0.06166833964329873
19,19,19,0,296.352501086474,0.06058307068886274
19,19,19,0,296.31150538282805,0.057750952267069756
3,3,3,0,296.098189145675,0.06038353793165996
19,19,19,0,295.49569428129826,0.06548917370380873
19,19,19,0,295.50546124478194,0.06833616596800003
3,3,3,0,295.65870272227966,0.06838115257364426
19,19,19,0,296.4820032410631,0.05026818143667692
3,3,3,0,296.05145600759187,0.062173269215642556
3,3,3,0,295.9028054676642,0.06568623286825333
15,19,19,0,296.1713690978342,0.059656970971245706
19,19,19,0,295.90494730276606,0.061581789973794564
3,3,3,0,296.4820032410631,0.05026818143667692
19,19,19,0,296.1680858864515,0.06355293544473166
19,19,19,0,295.5123432104792,0.06495196200750186
19,19,19,0,295.69048662361877,0.06386137582204654
19,19,19,0,296.0994625980812,0.06381345741293742
25,25,19,0,295.5937097025611,0.07344740085146739
3,3,3,0,296.0608440232955,0.0629677991304985
3,3,3,0,296.4584827055405,0.06105617262265994
19,19,19,0,296.3695167762684,0.05856913777532095
15,15,15,0,296.2168276632887,0.06198758336247915
19,19,19,0,295.58659581332824,0.06568425101381455
19,19,19,0,296.10212968881814,0.06275127532424445
19,19,19,0,295.77221229400425,0.06494706325075938
19,19,19,0,295.6057913614195,0.07006339557311847
3,3,3,0,295.49569428129826,0.06548917370380873
19,19,19,0,295.4161939024695,0.07072840707840437
25,25,25,0,295.4098592536252,0.06991150555354271
19,19,15,0,295.774013618664,0.06546580868305678
3,3,3,0,296.2701596824288,0.058604734165886185
3,3,3,0,296.352501086474,0.06058307068886274
19,19,19,0,295.5884875767861,0.06801863339883003
4,4,4,0,296.12444561067935,0.06359560491981024
19,19,19,0,296.17706437921436,0.0629146442049932
3,3,3,0,296.4059745043547,0.05158857829711749
15,15,15,0,295.6849939305275,0.07338055424235179
19,19,19,0,295.5684527813408,0.06892625816009357
3,3,3,0,295.5004467086936,0.06319691193443451
3,3,3,0,296.3079814244283,0.059212505343972786
3,3,3,0,296.08119056322556,0.06452904842636897
3,3,3,0,295.90584519245084,0.06840588974298949
19,19,19,0,296.13434214380607,0.06502354097705994
19,19,19,0,295.6972075043299,0.06474013206702385
3,3,3,0,295.8304949869917,0.06151896419467443
19,19,19,0,296.3654169935519,0.059343949728627145
19,19,19,0,296.09744774869256,0.058971588336844384
3,3,3,0,296.65398373535066,0.058354407075463875
19,19,19,0,296.37074955340614,0.057791185402293145
3,3,3,0,296.340564208146,0.06292389410080428
19,19,19,0,295.6922594926141,0.07117064746560568
19,19,19,0,295.6849939305275,0.07338055424235179
19,19,19,0,295.4012026798846,0.07052072959484572
3,3,3,0,295.70857569029897,0.0721557731662384
3,3,3,0,295.94576055748684,0.06768913147193108
15,15,15,0,296.637063561188,0.058842976414580285
3,3,3,0,295.7326201711357,0.071630383057812
3,3,3,0,296.14090036342435,0.06256775510650787
3,3,3,0,295.8304949869917,0.06151896419467443
3,3,3,0,296.33010316331587,0.06015317343018367
3,3,19,0,296.5395443311282,0.06230264109712754
3,15,15,0,296.5395443311282,0.06230264109712754
19,19,19,0,296.25803700783484,0.05785682874264234
19,19,19,0,295.86813644306363,0.06855317157846604
19,19,19,0,295.4161939024695,0.07072840707840437
19,19,19,0,295.7364388466372,0.06959292493603542
19,19,19,0,295.4012026798846,0.07052072959484572
3,3,3,0,296.26087202307605,0.0621395677560758
4,15,15,0,295.58659581332824,0.06568425101381455
3,3,3,0,295.7364388466372,0.06959292493603542
19,19,19,0,295.69048662361877,0.06386137582204654
19,19,19,0,296.0566614122535,0.06229094989440753
3,3,3,0,296.3896595961201,0.05930968202493503
3,3,3,0,295.9455331704125,0.06705160267494037
3,3,3,0,296.25803700783484,0.05785682874264234
19,19,19,0,296.2887641279265,0.06218112336935514
3,15,15,0,296.5444543297072,0.05865535961927885
3,3,3,0,295.51788797619184,0.06493367828271701
3,3,3,0,296.25803700783484,0.05785682874264234
19,19,19,0,295.49440690242614,0.06786511170210356
3,3,3,0,295.6300685729556,0.06883126077395592
3,3,3,0,296.3896595961201,0.05930968202493503
19,19,19,0,295.8357693616565,0.06841514212232742
19,19,19,0,295.7693562175731,0.06983161546132877
3,3,3,0,296.37119444394807,0.06272047214052989
3,3,3,0,295.99667871351886,0.0593606179191859
3,4,4,0,295.9365501074936,0.06276475590807114
19,19,19,0,295.39856318258035,0.0713594290350071
19,19,19,0,295.7296802987884,0.07209816279353613
19,19,19,0,295.56311433220884,0.07028252956610832
3,3,3,0,296.6060147886139,0.06400299645803287
19,19,19,0,296.1839650333922,0.05997206099174335
3,3,3,0,295.9028054676642,0.06568623286825333
3,3,3,0,296.22604518489123,0.06054741221012586
19,19,19,0,296.4313657001527,0.05798201215606843
19,19,19,0,296.15225853327104,0.06372126765392139
19,19,19,0,296.4067126417536,0.055131460997878655
19,19,19,0,296.460066663523,0.05370729741793786
3,3,3,0,295.8304949869917,0.06151896419467443
3,3,3,0,296.55969184711375,0.06907154944878731
3,3,3,0,296.47919149803687,0.060679122332154854
19,19,19,0,295.6922594926141,0.07117064746560568
15,15,15,0,296.5252283409824,0.06502454804720396
3,3,3,0,295.93546360275616,0.06634235086383337
15,19,19,0,296.2411590453176,0.06045542485854938
3,3,3,0,296.3896595961201,0.05930968202493503
3,3,3,0,296.29666682155806,0.05780488577824746
3,3,3,0,295.7411555813028,0.06098082614284669
4,4,4,0,295.9764826125632,0.06699715259017462
19,19,19,0,295.89504993079254,0.06902914943637366
3,19,19,0,295.81044760130095,0.06527525015018298
