classification_2020,temperature_2m,total_precipitation_sum
19,295.9180068666313,0.06065890642346853
3,295.6972075043299,0.06474013206702385
19,296.2149440350857,0.06528349297585005
19,295.8374012918185,0.06742417516650671
3,296.5673044647092,0.04741085645896111
3,296.09744774869256,0.058971588336844384
3,296.2713806556142,0.06352298907778575
19,295.8681798488588,0.06941945306799724
3,296.25943989183634,0.06192827549916421
19,295.47110000704924,0.0674279737208477
19,295.4267408363094,0.07075663360299582
3,295.9957205254348,0.06399711546641502
19,295.6872735904703,0.06407714587789688
66,296.5449520112714,0.049394440674204766
3,295.8154357436384,0.062290716442882164
19,295.6922594926141,0.07117064746560568
3,295.9527129335093,0.062400120768367394
